Time Passed (days),Orbital Period (days),X Position (m),Y Position (m),Eccentric Anomaly,Orbital Radius (m),Orbital Velocity (m/s),Potential Energy (J),Kinetic Energy (J),Total Mechanical Energy (J)
0.0,365.21050633813775,147101680000.0,0.0,0.0,147101680000.0,30040.796064316317,-5.38762308622172e+33,2.693811543110861e+33,-2.6938115431108597e+33
0.36557608242055833,365.21050633813775,147098619751.46616,956745336.9551574,0.006396292132203645,147101731106.1505,30040.79084592233,-5.38762121445125e+33,2.693810607225626e+33,-2.6938106072256246e+33
0.7311521648411167,365.21050633813775,147089439139.572,1913450866.418294,0.012792579820033992,147101884422.36914,30040.775190984677,-5.387615599229425e+33,2.6938077996147123e+33,-2.6938077996147123e+33
1.096728247261675,365.21050633813775,147074138565.43234,2870076782.802643,0.019188858619330795,147102139941.95728,30040.749100236302,-5.387606240824989e+33,2.6938031204124946e+33,-2.6938031204124946e+33
1.4623043296822333,365.21050633813775,147052718697.547,3826583284.331761,0.025585124086359535,147102497653.75098,30040.712574898702,-5.387593139685832e+33,2.693796569842916e+33,-2.693796569842916e+33
1.8278804121027914,365.21050633813775,147025180471.763,4782930574.944327,0.03198137177802413,147102957542.12155,30040.66561668187,-5.387576296438954e+33,2.693788148219477e+33,-2.693788148219477e+33
2.19345649452335,365.21050633813775,146991525091.22272,5739078866.198539,0.03837759725207951,147103519586.9766,30040.60822778415,-5.38755571189042e+33,2.6937778559452103e+33,-2.693777855945209e+33
2.5590325769439084,365.21050633813775,146951754026.29608,6694988379.17594,0.04477379606734413,147104183763.76086,30040.54041089213,-5.387531387025305e+33,2.6937656935126525e+33,-2.6937656935126525e+33
2.9246086593644667,365.21050633813775,146905869014.4984,7650619346.384614,0.05116996378391248,147104950043.4579,30040.462169180428,-5.387503323007625e+33,2.693751661503812e+33,-2.693751661503813e+33
3.290184741785025,365.21050633813775,146853872060.39316,8605932013.66154,0.057566095963367515,147105818392.59143,30040.373506311495,-5.387471521180249e+33,2.6937357605901245e+33,-2.6937357605901245e+33
3.655760824205583,365.21050633813775,146795765435.47974,9560886642.073996,0.06396218816899277,147106788773.2275,30040.27442643535,-5.387435983064808e+33,2.693717991532404e+33,-2.693717991532404e+33
4.021336906626141,365.21050633813775,146731551678.06607,10515443509.819899,0.07035823596598469,147107861142.9763,30040.164934189328,-5.387396710361589e+33,2.693698355180795e+33,-2.693698355180794e+33
4.3869129890467,365.21050633813775,146661233593.11563,11469562914.27607,0.07675423492266455,147109035454.99496,30040.045034697716,-5.387353704949402e+33,2.693676852474701e+33,-2.693676852474701e+33
4.752489071467258,365.21050633813775,146584814252.1348,12423205173.299328,0.08315018060669023,147110311657.98935,30039.914733571513,-5.387306968885474e+33,2.693653484442737e+33,-2.693653484442737e+33
5.118065153887817,365.21050633813775,146502296992.93552,13376330628.017872,0.08954606859126815,147111689696.218,30039.774036907922,-5.387256504405269e+33,2.6936282522026347e+33,-2.6936282522026347e+33
5.483641236308374,365.21050633813775,146413685419.49124,14328899644.12915,0.09594189445136461,147113169509.4945,30039.62295129002,-5.387202313922352e+33,2.693601156961176e+33,-2.693601156961176e+33
5.849217318728933,365.21050633813775,146318983401.72314,15280872613.960936,0.10233765376504464,147114751033.19122,30039.461483786297,-5.387144400028207e+33,2.6935722000141034e+33,-2.6935722000141034e+33
6.214793401149492,365.21050633813775,146218195075.28867,16232209958.31114,0.108733342113339,147116434198.24268,30039.289641950174,-5.38708276549206e+33,2.693541382746031e+33,-2.6935413827460297e+33
6.58036948357005,365.21050633813775,146111324841.34644,17182872128.377705,0.11512895508072984,147118218931.1495,30039.1074338195,-5.387017413260684e+33,2.6935087066303415e+33,-2.6935087066303427e+33
6.945945565990607,365.21050633813775,145998377366.3106,18132819607.641205,0.1215244882553327,147120105153.9826,30038.914867916017,-5.386948346458178e+33,2.6934741732290896e+33,-2.6934741732290885e+33
7.311521648411166,365.21050633813775,145879357581.5906,19082012913.74499,0.12791993722907727,147122092784.38745,30038.711953244772,-5.386875568385762e+33,2.693437784192881e+33,-2.693437784192881e+33
7.677097730831725,365.21050633813775,145754270683.31534,20030412600.377304,0.13431529759791752,147124181735.58862,30038.498699293534,-5.386799082521532e+33,2.693399541260766e+33,-2.693399541260766e+33
8.042673813252282,365.21050633813775,145623122132.0432,20977979259.150898,0.14071056496204157,147126371916.39487,30038.275116032124,-5.386718892520216e+33,2.693359446260108e+33,-2.693359446260108e+33
8.408249895672842,365.21050633813775,145485917652.45718,21924673521.479908,0.14710573492608117,147128663231.20398,30038.04121391178,-5.386635002212917e+33,2.693317501106458e+33,-2.693317501106459e+33
8.7738259780934,365.21050633813775,145342663233.04486,22870456060.454002,0.15350080309932115,147131055580.00815,30037.79700386444,-5.386547415606844e+33,2.693273707803423e+33,-2.6932737078034216e+33
9.139402060513957,365.21050633813775,145193365125.76474,23815287592.70943,0.15989576509590797,147133548858.39972,30037.542497302,-5.386456136885026e+33,2.6932280684425134e+33,-2.693228068442512e+33
9.504978142934515,365.21050633813775,145038029845.6971,24759128880.2972,0.16629061653505872,147136142957.57684,30037.27770611556,-5.386361170406012e+33,2.6931805852030065e+33,-2.6931805852030054e+33
9.870554225355074,365.21050633813775,144876664170.68073,25701940732.54786,0.1726853530412689,147138837764.34964,30037.002642674623,-5.386262520703572e+33,2.693131260351786e+33,-2.693131260351786e+33
10.236130307775634,365.21050633813775,144709275140.93488,26643684007.933002,0.17907997024452046,147141633161.1464,30036.717319826275,-5.386160192486376e+33,2.693080096243188e+33,-2.693080096243188e+33
10.601706390196192,365.21050633813775,144535870058.6671,27584319615.923405,0.18547446378048932,147144529026.02026,30036.421750894304,-5.386054190637651e+33,2.6930270953188254e+33,-2.6930270953188254e+33
10.967282472616748,365.21050633813775,144356456487.6663,28523808518.84339,0.19186882929075227,147147525232.65598,30036.115949678333,-5.38594452021485e+33,2.692972260107426e+33,-2.6929722601074247e+33
11.332858555037307,365.21050633813775,144171042252.88126,29462111733.721622,0.19826306242299369,147150621650.3769,30035.79993045287,-5.38583118644929e+33,2.692915593224645e+33,-2.692915593224645e+33
11.698434637457867,365.21050633813775,143979635439.98535,30399190334.137943,0.20465715883121166,147153818144.15225,30035.473707966383,-5.38571419474578e+33,2.6928570973728906e+33,-2.6928570973728894e+33
12.064010719878425,365.21050633813775,143782244394.92633,31335005452.066288,0.2110511141759238,147157114574.60474,30035.137297440284,-5.385593550682248e+33,2.692796775341124e+33,-2.692796775341124e+33
12.429586802298983,365.21050633813775,143578877723.46207,32269518279.713432,0.21744492412437239,147160510798.0182,30034.790714567942,-5.385469260009343e+33,2.692734630004672e+33,-2.692734630004671e+33
12.795162884719542,365.21050633813775,143369544290.68207,33202690071.35361,0.2238385843507296,147164006666.3456,30034.43397551361,-5.385341328650033e+33,2.6926706643250165e+33,-2.6926706643250165e+33
13.1607389671401,365.21050633813775,143154253220.51486,34134482145.158653,0.23023209053630125,147167602027.2174,30034.06709691136,-5.385209762699188e+33,2.692604881349594e+33,-2.692604881349594e+33
13.526315049560658,365.21050633813775,142933013895.22086,35064855885.023674,0.23662543836973116,147171296723.9498,30033.690095863974,-5.385074568423154e+33,2.6925372842115776e+33,-2.6925372842115764e+33
13.891891131981215,365.21050633813775,142705835954.87164,35993772742.38824,0.2430186235472041,147175090595.55365,30033.302989941796,-5.384935752259311e+33,2.692467876129656e+33,-2.692467876129655e+33
14.257467214401773,365.21050633813775,142472729296.81467,36921194238.05263,0.24941164177264893,147178983476.7432,30032.905797181575,-5.384793320815624e+33,2.692396660407812e+33,-2.692396660407812e+33
14.623043296822331,365.21050633813775,142233704075.12448,37847081963.98936,0.25580448875794043,147182975197.9454,30032.49853608526,-5.38464728087018e+33,2.69232364043509e+33,-2.69232364043509e+33
14.98861937924289,365.21050633813775,141988770700.0395,38771397585.14975,0.26219716022310124,147187065585.30933,30032.081225618753,-5.38449763937071e+33,2.692248819685355e+33,-2.692248819685355e+33
15.35419546166345,365.21050633813775,141737939837.38513,39694102841.26525,0.26858965189650313,147191254460.71567,30031.653885210682,-5.384344403434107e+33,2.6921722017170535e+33,-2.6921722017170535e+33
15.719771544084008,365.21050633813775,141481222407.9831,40615159548.64368,0.27498195951506715,147195541641.78668,30031.216534751085,-5.38418758034593e+33,2.6920937901729644e+33,-2.6920937901729656e+33
16.085347626504564,365.21050633813775,141218629587.04678,41534529601.96,0.28137407882446397,147199926941.89633,30030.769194590102,-5.384027177559889e+33,2.6920135887799443e+33,-2.6920135887799443e+33
